Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_29, 10012, 95560, 1, 11, 10000, 56, 13, 2.0E-5, 95548, 9.544546, 59.69257, 6.254102, 4985, 5027, 0.17767996, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.05, 0.105, 0.037, 0.107
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_3, 10012, 94786, 1, 11, 10000, 59, 14, 2.0E-5, 94774, 9.467239, 59.19187, 6.252284, 5021, 4991, 0.17621312, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.05, 0.101, 0.047, 0.123
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_30, 10012, 95137, 1, 11, 10000, 57, 13, 2.0E-5, 95125, 9.502297, 59.45935, 6.2573657, 4945, 5067, 0.17699607, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.048, 0.101, 0.033, 0.104
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_31, 10012, 95489, 1, 11, 10000, 55, 14, 2.0E-5, 95477, 9.537455, 59.677887, 6.2572126, 5042, 4970, 0.17735043, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.171, 0.311, 0.136, 0.379
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_32, 10012, 95757, 1, 11, 10000, 60, 14, 2.0E-5, 95745, 9.564223, 59.84179, 6.256838, 4935, 5077, 0.17841859, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.131, 0.265, 0.112, 0.178
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_33, 10012, 95992, 1, 11, 10000, 60, 13, 2.0E-5, 95980, 9.587695, 60.020775, 6.2601886, 5019, 4993, 0.17770515, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.098, 0.183, 0.111, 0.293
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_34, 10012, 95598, 1, 11, 10000, 52, 13, 2.0E-5, 95586, 9.548342, 59.727127, 6.2552357, 4955, 5057, 0.17783801, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.049, 0.167, 0.034, 0.103
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_35, 10012, 94962, 1, 11, 10000, 53, 12, 2.0E-5, 94950, 9.484818, 59.304436, 6.252564, 4959, 5053, 0.17715862, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.081, 0.326, 0.063, 0.216
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_36, 10012, 95758, 1, 11, 10000, 53, 13, 2.0E-5, 95746, 9.564322, 59.871853, 6.259916, 5062, 4950, 0.1772363, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.092, 0.196, 0.049, 0.2
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_37, 10012, 95472, 1, 11, 10000, 56, 13, 2.0E-5, 95460, 9.535757, 59.67489, 6.258013, 4955, 5057, 0.17566384, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.121, 0.216, 0.067, 0.162
