Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,VI,WP_P3
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_160,10000,0.011071356981113886,0.011071356981113886,0.011071356981113886,0.011071356981113886,0.011071356981113802,0.011071356981113877,,,0.011071356894264325,0.011071343633401223,0.011071356981113886,0.011071356981113802,0.011071356981110574,,0.011071356923967539,0.01107131372648668
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_161,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_162,10000,0.2819082717968174,0.2819082717968174,0.28190827227784,0.2819082733833901,0.2819082733833897,0.28190827338339014,0.28190827341657493,,0.2819082733811252,0.28190827213016173,0.2819082733831753,0.28190827338338964,0.28190827338335256,,0.2819082726522606,0.2819080735201332
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_163,10000,0.03799335591864336,0.03799335591864336,0.037993356352988075,0.037993358508367825,0.03799335850836702,0.037993358508367825,0.037993358511713225,,0.03799335850836788,0.03799335837648579,0.0379933585080931,0.037993358508367006,0.03799335850834873,,0.03799335824143415,0.037992916947826576
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_164,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_165,10000,0.049726121891990986,0.049726121891990986,0.049726121891990986,0.04972612189199063,0.049726121891990424,0.049726121891990986,0.04972612199365184,,0.04972612189173193,0.04972611851568567,0.049726121891990986,0.04972612189199043,0.04972612203011137,,0.049726120258576686,0.04972557230193234
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_166,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_167,10000,0.01819735300837149,0.01819735300837149,0.018197353263044117,0.018197353717135288,0.018197353717135302,0.018197353717135288,,,0.018197353701644527,0.01819735268626274,0.018197353717127454,0.018197353717134917,0.018197353718903686,,0.01819735368298048,0.018197259542608295
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_168,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_169,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_170,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_171,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_172,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_173,10000,2.2708384956003933E-5,2.2708384956003933E-5,2.2707978261734424E-5,2.270839550715559E-5,2.270839550715755E-5,2.2708395500218936E-5,2.2708398340157802E-5,,2.2708394343684375E-5,2.2682144605343058E-5,2.270839550708062E-5,2.2708395507157512E-5,2.270839550386919E-5,,2.2708376036259016E-5,2.2505746712604854E-5
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_174,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_175,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_176,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_177,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_178,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_179,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_180,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_181,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_182,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_183,10000,0.1910742669687569,0.1910742669687569,0.1910742669687569,0.1910742669687567,0.19107426696875301,0.1910742669687569,0.1910742673430104,,0.19107426696875773,0.19107426686261342,0.1910742669687569,0.19107426696875301,0.1910742669680044,,0.1910742507236244,0.19107352650585832
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_184,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_185,10000,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_186,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_187,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_10000_MinAct_1_MinTransProb_0.001_Model_188,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
