Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,GSVI_1,GSVI_100,OVI_100,QP_G,QP_G_T,QP_G_T_W,QP_G_W,SVI_1,SVI_100,TBVI_100,TGBVI_100,TGSVI_1,TGSVI_100,TOVI_100,TOVI_100_opt,TSVI_1,TSVI_100
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_2,10002,0.0,,,,0.010000000000000002,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_20,10002,0.0,,,0.009999999999999998,0.009999999999999998,0.009999999999999998,,,0.009999999999999998,0.009999999999999998,,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,,,0.009999999999999998,0.009999999999999998,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_3,10002,0.0,,,,0.01,0.01,,,0.01,0.01,,0.01,0.01,0.01,0.01,,,0.01,0.01,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_4,10002,0.0,,,,4.0E-5,4.0E-5,,,0.0,0.0,,4.0E-5,4.0E-5,4.0E-5,4.0E-5,,,,,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_5,10002,0.0,,,,1.9000000000000004E-4,1.9000000000000004E-4,1.9000000000000004E-4,,0.0,0.0,,1.9000000000000004E-4,1.9000000000000004E-4,1.9000000000000004E-4,1.9000000000000004E-4,,,,,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_6,10002,0.0,,0.001,,0.001,0.001,,,0.0,0.0,,0.001,0.001,0.001,0.001,,,0.001,0.001,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_7,10002,,0.0,,,0.009200000000000002,0.009200000000000002,,,0.009200000000000002,0.009200000000000002,,0.009200000000000002,0.009200000000000002,0.009200000000000002,0.009200000000000002,,,0.009200000000000002,0.009200000000000002,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_8,10002,0.0,,,,0.002,0.002,0.002,,0.0,0.0,,0.002,0.002,0.002,0.002,,,0.002,0.002,,
RANDOM_Size_10002_MinAct_5_Type-tree_MinTransProb_0.1_Model_9,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.009999999999999998,0.009999999999999998,,,0.009999999999999998,0.009999999999999998,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_1,10002,,,,,0.009999736296428656,0.009999736296428656,,,0.010000000000000002,0.010000000000000002,,0.009999686473040649,0.009999686473040649,0.010000000000000004,0.010000000000000004,,,0.010000000000000004,0.010000000000000004,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_10,10002,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_11,10002,0.0,,,,0.07816000000000001,0.07816000000000001,,,0.07816000000000001,0.07816000000000001,,0.07816000000000001,0.07816000000000001,0.07816000000000001,0.07816000000000001,,,,,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_12,10002,0.0,,,,0.009999901968280704,0.009999901968280704,,,0.010000000000000002,0.010000000000000002,,0.009999921968284562,0.009999921968284562,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_13,10002,0.0,,,,0.010000000000000004,0.010000000000000004,,,0.010000000000000002,0.010000000000000002,,0.010000000000000004,0.010000000000000004,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_14,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_15,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_70_Type-tree_MinTransProb_0.1_Model_16,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
