Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_95, 10002, 68489, 1, 3418, 6583, 84, 5, 1.0E-4, 50503, 6.8475304, 15.468806, 2.2590344, 4966, 5036, 0.15555944, 1, 811, 811, 811.0, 811.0, 1097, 8906, 1, 9.117593436645397, 3, 1, 8906, 8906.0, 2147483637, 0, NaN, 0.0, 0.231, 0.27, 0.09, 0.041
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_96, 10002, 68636, 1, 3221, 6780, 77, 5, 1.0E-4, 50547, 6.8622274, 15.510498, 2.2602715, 5034, 4968, 0.1582289, 2, 316, 1, 158.5, 158.5, 1052, 8951, 1, 9.507604562737642, 3, 1, 8951, 8951.0, 4, 4, 4.0, 4.0, 0.236, 0.307, 0.111, 0.051
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_97, 10002, 68455, 1, 3385, 6616, 75, 5, 1.0E-4, 50586, 6.844131, 15.473306, 2.2608137, 5020, 4982, 0.15465483, 1, 696, 696, 696.0, 696.0, 1120, 8883, 1, 8.930357142857142, 3, 1, 8883, 8883.0, 4, 4, 4.0, 4.0, 0.216, 0.286, 0.115, 0.066
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_98, 10002, 68337, 1, 3260, 6741, 86, 5, 1.0E-4, 50503, 6.8323336, 15.44931, 2.2612054, 5046, 4956, 0.15549041, 1, 444, 444, 444.0, 444.0, 1110, 8893, 1, 9.010810810810812, 3, 1, 8893, 8893.0, 2147483637, 0, NaN, 0.0, 0.246, 0.332, 0.117, 0.05
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_99, 10002, 68454, 1, 3614, 6387, 87, 5, 1.0E-4, 50543, 6.8440313, 15.504299, 2.2653754, 4858, 5144, 0.15418446, 2, 283, 2, 142.5, 142.5, 1124, 8879, 1, 8.898576512455517, 3, 1, 8879, 8879.0, 2147483637, 0, NaN, 0.0, 0.19, 0.235, 0.078, 0.035
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_10, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_100, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_13, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
