Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_36, 10000, 56426, 255, 9719, 26, 16, 5, 9.0E-4, 5579, 5.6426, 6.2056, 1.0997767, 4921, 5079, 0.088275105, 2, 1, 1, 1.0, 1.0, 104, 1795, 1, 96.15384615384616, 6, 13, 199, 762.2307692307693, 2147483637, 0, NaN, 0.0, 0.09, 0.273, 0.017, 0.032
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_37, 10000, 56387, 173, 9820, 7, 17, 5, 7.0E-4, 5791, 5.6387, 6.2219, 1.1034281, 4942, 5058, 0.08810814, 1, 1, 1, 1.0, 1.0, 142, 1969, 1, 70.4225352112676, 4, 10, 343, 986.8, 2147483637, 0, NaN, 0.0, 0.102, 0.438, 0.013, 0.037
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_38, 10000, 56160, 571, 9384, 45, 19, 5, 5.0E-4, 5731, 5.616, 6.1944, 1.1029915, 5006, 4994, 0.08564187, 6, 2, 1, 1.1666666666666667, 1.0, 95, 1861, 1, 105.26315789473684, 5, 9, 212, 1101.5555555555557, 2147483637, 0, NaN, 0.0, 0.167, 0.727, 0.017, 0.028
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_39, 10000, 56173, 729, 9222, 49, 17, 6, 0.0025, 5489, 5.6173, 6.1704, 1.0984637, 5014, 4986, 0.08785492, 4, 1, 1, 1.0, 1.0, 91, 1747, 1, 109.89010989010988, 6, 13, 34, 763.2307692307693, 2147483637, 0, NaN, 0.0, 0.158, 0.915, 0.02, 0.045
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_4, 10000, 56346, 874, 9068, 58, 16, 6, 0.0014, 5701, 5.6346, 6.2085, 1.1018529, 4928, 5072, 0.08612386, 5, 1, 1, 1.0, 1.0, 76, 1887, 1, 131.57894736842104, 4, 7, 838, 1418.7142857142858, 2147483637, 0, NaN, 0.0, 0.105, 0.556, 0.018, 0.035
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_40, 10000, 55910, 255, 9701, 44, 18, 7, 0.0027, 5535, 5.591, 6.1504, 1.1000537, 4977, 5023, 0.087490246, 7, 8, 1, 2.0, 1.0, 86, 1645, 1, 116.27906976744185, 5, 10, 454, 992.4, 2147483637, 0, NaN, 0.0, 0.124, 0.462, 0.022, 0.032
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_41, 10000, 56341, 368, 9588, 44, 17, 5, 8.0E-4, 5698, 5.6341, 6.2094, 1.1021104, 4996, 5004, 0.086819984, 5, 1, 1, 1.0, 1.0, 83, 1947, 1, 120.48192771084338, 5, 11, 16, 902.5454545454545, 2147483637, 0, NaN, 0.0, 0.123, 0.487, 0.018, 0.038
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_42, 10000, 55735, 148, 9842, 10, 18, 5, 0.001, 5507, 5.5735, 6.1303, 1.0999013, 4998, 5002, 0.088641666, 1, 4, 4, 4.0, 4.0, 95, 1759, 1, 105.26315789473684, 4, 10, 104, 991.5, 2147483637, 0, NaN, 0.0, 0.084, 0.298, 0.026, 0.083
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_43, 10000, 55762, 274, 9713, 13, 18, 6, 1.0E-4, 5593, 5.5762, 6.1409, 1.1012697, 5044, 4956, 0.08777215, 2, 2, 1, 1.5, 1.5, 83, 1976, 1, 120.48192771084338, 5, 9, 554, 1102.888888888889, 2147483637, 0, NaN, 0.0, 0.117, 0.369, 0.018, 0.049
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_44, 10000, 56685, 366, 9628, 6, 17, 6, 0.0041, 5558, 5.6685, 6.2296, 1.0989857, 5006, 4994, 0.08584821, 1, 1, 1, 1.0, 1.0, 92, 1728, 1, 108.69565217391305, 7, 10, 242, 991.8, 2147483637, 0, NaN, 0.0, 0.136, 0.418, 0.011, 0.054
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_45, 10000, 56744, 67, 9933, 0, 17, 5, 6.0E-4, 5513, 5.6744, 6.2308, 1.0980544, 5099, 4901, 0.08676253, 0, , , , , 107, 1372, 1, 93.45794392523365, 5, 15, 75, 660.5333333333333, 2147483637, 0, NaN, 0.0, 0.101, 0.24, 0.001, 0.041
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_46, 10000, 55925, 439, 9503, 58, 18, 5, 0.0022, 5646, 5.5925, 6.1624, 1.1019044, 5036, 4964, 0.08581072, 1, 1, 1, 1.0, 1.0, 81, 1740, 1, 123.45679012345678, 5, 13, 24, 764.0, 2147483637, 0, NaN, 0.0, 0.114, 0.484, 0.054, 0.07
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_47, 10000, 55908, 257, 9715, 28, 16, 6, 0.0103, 5656, 5.5908, 6.1607, 1.1019353, 5026, 4974, 0.086045414, 0, , , , , 81, 1903, 1, 123.45679012345678, 5, 9, 53, 1103.111111111111, 2147483637, 0, NaN, 0.0, 0.091, 0.364, 0.017, 0.037
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_48, 10000, 55941, 11, 9978, 11, 17, 5, 0.0036, 5649, 5.5941, 6.164, 1.1018752, 5026, 4974, 0.08705386, 1, 3, 3, 3.0, 3.0, 80, 1871, 1, 125.0, 6, 15, 25, 662.3333333333334, 2147483637, 0, NaN, 0.0, 0.164, 0.248, 0.01, 0.027
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_49, 10000, 56804, 418, 9550, 32, 20, 5, 3.0E-4, 5753, 5.6804, 6.2601, 1.1020527, 5051, 4949, 0.086675934, 2, 1, 1, 1.0, 1.0, 114, 1975, 1, 87.71929824561404, 6, 10, 36, 989.6, 2147483637, 0, NaN, 0.0, 0.091, 0.478, 0.054, 0.033
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_5, 9185, 51705, 1, 8852, 332, 18, 6, 0.0029, 5208, 5.629287, 6.2009797, 1.1015569, 4641, 4544, 0.08738324, 7, 284, 1, 41.42857142857143, 1.0, 105, 1777, 1, 87.47619047619048, 5, 9, 49, 1009.8888888888889, 2147483637, 0, NaN, 0.0, 0.131, 0.155, 0.048, 0.062
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_50, 10000, 56693, 921, 8978, 101, 17, 5, 8.0E-4, 5582, 5.6693, 6.2316, 1.0991833, 4965, 5035, 0.0878747, 8, 1, 1, 1.0, 1.0, 120, 1795, 1, 83.33333333333333, 5, 7, 825, 1412.4285714285713, 2147483637, 0, NaN, 0.0, 0.14, 0.672, 0.019, 0.052
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_51, 8477, 47213, 130, 8344, 3, 18, 5, 1.0E-4, 4780, 5.569541, 6.1375484, 1.1019846, 4266, 4211, 0.086395785, 1, 1, 1, 1.0, 1.0, 83, 1842, 1, 102.13253012048193, 8, 9, 218, 933.6666666666666, 2147483637, 0, NaN, 0.0, 0.104, 0.255, 0.016, 0.045
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_52, 10000, 56021, 202, 9779, 19, 18, 4, 0.0026, 5666, 5.6021, 6.1723, 1.1017833, 4997, 5003, 0.08656417, 1, 1, 1, 1.0, 1.0, 162, 1948, 1, 61.72839506172839, 6, 11, 254, 895.3636363636364, 2147483637, 0, NaN, 0.0, 0.114, 0.458, 0.015, 0.033
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_53, 10000, 56054, 339, 9624, 37, 18, 4, 0.0025, 5640, 5.6054, 6.173, 1.1012595, 5086, 4914, 0.086829744, 4, 2, 1, 1.25, 1.0, 84, 1950, 1, 119.04761904761905, 5, 8, 77, 1240.5, 2147483637, 0, NaN, 0.0, 0.101, 0.363, 0.018, 0.03
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_54, 10000, 55785, 159, 9819, 22, 19, 5, 1.0E-4, 5598, 5.5785, 6.145, 1.1015506, 5127, 4873, 0.08901546, 3, 1, 1, 1.0, 1.0, 90, 1605, 1, 111.11111111111111, 5, 10, 155, 992.0, 2147483637, 0, NaN, 0.0, 0.101, 0.406, 0.02, 0.031
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_55, 10000, 56486, 817, 9072, 111, 17, 5, 0.0015, 5587, 5.6486, 6.211, 1.0995646, 4947, 5053, 0.08724843, 10, 2, 1, 1.1, 1.0, 75, 1933, 1, 133.33333333333334, 5, 6, 1100, 1655.1666666666667, 2147483637, 0, NaN, 0.0, 0.118, 0.503, 0.034, 0.035
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_56, 10000, 56258, 243, 9695, 62, 16, 6, 0.0015, 5637, 5.6258, 6.195, 1.1011767, 4974, 5026, 0.08700565, 5, 1, 1, 1.0, 1.0, 95, 1513, 1, 105.26315789473684, 6, 12, 50, 826.4166666666666, 2147483637, 0, NaN, 0.0, 0.129, 0.626, 0.022, 0.046
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_57, 10000, 56402, 1, 8818, 1181, 16, 6, 0.001, 5675, 5.6402, 6.2135, 1.1016454, 5021, 4979, 0.087342076, 7, 628, 1, 141.14285714285714, 3.0, 119, 1477, 1, 84.03361344537815, 5, 15, 82, 659.7333333333333, 2147483637, 0, NaN, 0.0, 0.186, 0.222, 0.06, 0.029
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_58, 10000, 56075, 148, 9842, 10, 17, 5, 0.0025, 5675, 5.6075, 6.1807, 1.1022203, 4975, 5025, 0.0863009, 1, 1, 1, 1.0, 1.0, 122, 1878, 1, 81.9672131147541, 6, 12, 137, 824.1666666666666, 2147483637, 0, NaN, 0.0, 0.106, 0.385, 0.015, 0.048
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_59, 8132, 45703, 44, 8064, 24, 17, 5, 4.0E-4, 4546, 5.6201425, 6.186178, 1.1007155, 4022, 4110, 0.08718642, 1, 16, 16, 16.0, 16.0, 113, 1294, 1, 71.96460176991151, 4, 13, 2, 617.8461538461538, 2147483637, 0, NaN, 0.0, 0.109, 0.326, 0.015, 0.026
