Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_27,102,,,110,8,6,,,,4,4,77,47,44,44
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_28,102,,,1,1,6,,,,5,4,43,42,44,44
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_29,102,,,111,7,7,,,,4,4,69,54,52,52
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_3,102,,,102,5,14,,,,13,8,53,48,55,55
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_30,102,,,1,1,4,,,,3,3,51,51,51,51
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_4,102,,,107,7,14,,,,12,6,61,54,59,59
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_5,102,,,111,7,6,,,,4,4,58,53,51,51
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_6,102,,,114,9,5,,,,4,4,55,49,45,45
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_7,102,,,103,4,8,,,,5,5,47,47,48,48
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_8,102,,,106,5,6,,,,4,4,54,52,52,52
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_9,102,,,1,1,18,,,,14,7,58,49,60,60
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_1,102,,,153,33,121,,,,44,27,100,69,142,142
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_10,102,,,143,31,118,,,,51,35,88,63,136,136
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_11,102,,,122,17,78,,,,30,22,63,53,67,67
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_12,102,,,130,19,90,,,,38,23,78,58,118,118
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_13,102,,,133,22,170,,,,58,22,71,57,67,67
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_14,102,,,167,24,94,,,,40,29,113,69,122,122
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_15,102,,,123,17,94,,,,35,24,65,50,114,114
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_16,102,,,135,27,87,,,,33,25,78,64,115,115
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_17,102,,,115,14,36,,,,26,18,52,40,52,52
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_18,102,,,124,19,39,,,,30,22,70,61,73,73
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_19,102,,,226,18,30,,,,25,16,212,51,61,61
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_2,102,,,132,23,103,,,,37,26,70,54,123,123
