Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase,NumAborted,NumInduceLowerBound,NumFailedVerif
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25,0,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26,0,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27,1,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_28,0,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_29,0,9,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_3,0,5,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_30,1,8,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_31,0,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_32,1,7,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_33,0,8,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_34,0,6,1,0,0,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_35,0,8,2,1,1,0
T_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_36,0,6,2,1,1,0
